设置,选项名称,值
选手信息,nick,Xyp9x
选手信息,Name,Andreas Højsleth
选手信息,Birthday,"September 11, 1995"
选手信息,Country,Denmark
选手信息,Team,Astralis Talent
鼠标,model,Logitech G Pro X Superlight Red
鼠标,DPI,400
鼠标,Sensitivity,2
鼠标,eDPI,800
鼠标,Zoom Sensitivity,1
鼠标,Hz,500
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,200
准星设置,Color,5
准星设置,Blue,0
准星设置,Green,255
准星设置,Red,0
准星设置,Dot,0
准星设置,Gap,-2.5
准星设置,Size,2.5
准星设置,Style,4
准星设置,Thickness,1
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1680x1050
视频设置,Aspect Ratio,16:10
视频设置,Scaling Mode,Stretched
视频设置,Brightness,80%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Disabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,None
视频设置,Global Shadow Quality,High
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.95
界面 大小,HUD Color,White
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,No
雷达,Radar Hud Size,1
雷达,Radar Map Zoom,0.7
展示皮肤,skins,"['★ Butterfly Knife | Fade (Factory New)', 'AK-47 | Asiimov (Field-Tested)', 'M4A1-S | Guardian (Minimal Wear)', 'StatTrak™ Glock-18 | Water Elemental (Field-Tested)', 'Souvenir USP-S | Road Rash (Field-Tested)', 'Desert Eagle | Blaze (Factory New)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,Logitech G Pro X Superlight Red
外设,Keyboard,Logitech G Pro X Keyboard
外设,Headset,Logitech G PRO X 2 Headset Black
外设,Mousepad,Logitech G640 Original
