设置,选项名称,值
选手信息,nick,daps
选手信息,Name,Damian Steele
选手信息,Birthday,"July 29, 1993"
选手信息,Country,Canada
选手信息,Team,NRG
鼠标,model,Logitech G Pro Wireless
鼠标,DPI,400
鼠标,Sensitivity,1.70
鼠标,eDPI,680
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,1
准星设置,Color,1
准星设置,Blue,Unknown
准星设置,Green,Unknown
准星设置,Red,Unknown
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,3
准星设置,Style,4
准星设置,Thickness,1
准星设置,Sniper Width,Unknown
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1152x864
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Black Bars
视频设置,Brightness,Unknown
视频设置,Display Mode,Unknown
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ Bayonet | Slaughter (Minimal Wear)', '★ Hand Wraps | Overprint (Field-Tested)', 'StatTrak™ AK-47 | Case Hardened (Minimal Wear)', 'M4A1-S | Golden Coil (Minimal Wear)', 'AWP | Wildfire (Factory New)', 'Glock-18 | Gamma Doppler Emerald (Minimal Wear)', 'Souvenir USP-S | Royal Blue (Minimal Wear)', 'Desert Eagle | Crimson Web (Minimal Wear)']"
外设,Monitor,HP OMEN X 27
外设,Mouse,Logitech G Pro Wireless
外设,Keyboard,HyperX Alloy Origins Core
外设,Headset,beyerdynamic DT 770 Pro
外设,Mousepad,SteelSeries QcK Heavy
