设置,选项名称,值
选手信息,nick,SZPERO
选手信息,Name,Grzegorz Dziamałek
选手信息,Birthday,"June 6, 1991"
选手信息,Country,Poland
选手信息,Team,Free Agent
鼠标,model,ZOWIE EC2-CW
鼠标,DPI,800
鼠标,Sensitivity,0.9
鼠标,eDPI,800
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Style,4
准星设置,Follow Recoil,Unknown
准星设置,Dot,0
准星设置,Length,3
准星设置,Thickness,1
准星设置,Gap,-2
准星设置,Outline,0
准星设置,Outlinethickness,Unknown
准星设置,Color,4
准星设置,Red,Unknown
准星设置,Green,Unknown
准星设置,Blue,Unknown
准星设置,Alpha,Unknown
准星设置,Alpha Value,255
准星设置,T Style,Unknown
准星设置,Deployed Weapon Gap,Unknown
准星设置,Sniper Width,Unknown
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1280x1024
视频设置,Aspect Ratio,5:4
视频设置,Scaling Mode,Stretched
视频设置,Brightness,Unknown
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Enabled + Boost
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ Falchion Knife | Marble Fade (Factory New)', '★ Moto Gloves | Blood Pressure (Field-Tested)', 'AK-47 | Fire Serpent (Field-Tested)', 'M4A4 | Howl (Factory New)', 'AWP | Dragon Lore (Factory New)', 'USP-S | Kill Confirmed (Minimal Wear)', 'Glock-18 | Fade (Factory New)', 'Desert Eagle | Ocean Drive (Field-Tested)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,ZOWIE EC2-CW
外设,Keyboard,Logitech G Pro X Keyboard
外设,Headset,Sennheiser GAME ZERO
外设,Mousepad,ZOWIE G-SR
