设置,选项名称,值
选手信息,nick,mzinho
选手信息,Name,Ayush Batbold
选手信息,Birthday,N/A
选手信息,Country,Mongolia
选手信息,Team,The Mongolz
鼠标,model,Logitech G Pro X Superlight Red
鼠标,DPI,Unknown
鼠标,Sensitivity,Unknown
鼠标,eDPI,Unknown
鼠标,Zoom Sensitivity,Unknown
鼠标,Hz,Unknown
鼠标,Windows Sensitivity,Unknown
准星设置,Drawoutline,0
准星设置,Alpha,255
准星设置,Color,4
准星设置,Blue,255
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,2
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,Unknown
持枪 视角,Offset X,Unknown
持枪 视角,Offset Y,Unknown
持枪 视角,Offset Z,Unknown
持枪 视角,Presetpos,Unknown
视频设置,Resolution,Unknown
视频设置,Aspect Ratio,Unknown
视频设置,Scaling Mode,Unknown
视频设置,Brightness,Unknown
视频设置,Display Mode,Unknown
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ StatTrak™ M9 Bayonet | Doppler Phase 4 (Factory New)', '★ Hand Wraps | Cobalt Skulls (Field-Tested)', 'AK-47 | Head Shot (Battle-Scarred)', 'M4A1-S | Player Two (Field-Tested)', 'StatTrak™ AWP | BOOM (Field-Tested)', 'Glock-18 | Twilight Galaxy (Factory New)', 'USP-S | Neo-Noir (Field-Tested)', 'Desert Eagle | Code Red (Field-Tested)']"
外设,Monitor,ZOWIE XL2566K
外设,Mouse,Logitech G Pro X Superlight Red
外设,Keyboard,Logitech G715
外设,Mousepad,SteelSeries QcK Heavy
