设置,选项名称,值
选手信息,nick,waterfaLLZ
选手信息,Name,Nikita Matveyev
选手信息,Birthday,"June 18, 1995"
选手信息,Country,Russia
选手信息,Team,Free Agent
鼠标,model,ZOWIE EC2-A
鼠标,DPI,1600
鼠标,Sensitivity,0.90
鼠标,eDPI,1440
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,Unknown
准星设置,Alpha,Unknown
准星设置,Color,Unknown
准星设置,Blue,Unknown
准星设置,Green,Unknown
准星设置,Red,Unknown
准星设置,Dot,Unknown
准星设置,Gap,0
准星设置,Size,3.5
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,Unknown
持枪 视角,FOV,60
持枪 视角,Offset X,1
持枪 视角,Offset Y,1
持枪 视角,Offset Z,-1
持枪 视角,Presetpos,1
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,Unknown
视频设置,Display Mode,Unknown
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ Survival Knife | Night Stripe (Field-Tested)', 'AK-47 | Cartel (Minimal Wear)', 'M4A1-S | Boreal Forest (Minimal Wear)', 'AWP | Atheris (Field-Tested)', 'Desert Eagle | Directive (Field-Tested)']"
外设,Monitor,ZOWIE XL2546
外设,Mouse,ZOWIE EC2-A
外设,Keyboard,Razer Blackwidow TE
外设,Headset,Sennheiser GSP 600
