设置,选项名称,值
选手信息,nick,Neityu
选手信息,Name,Ryan Aubry
选手信息,Birthday,N/A
选手信息,Country,France
选手信息,Team,MOUZ NXT
鼠标,model,Razer Deathadder V3 Pro White
鼠标,DPI,400
鼠标,Sensitivity,1.5
鼠标,eDPI,600
鼠标,Zoom Sensitivity,0.818933027098955175
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Color,1
准星设置,Blue,255
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,2
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,2
持枪 视角,Offset Z,-1
持枪 视角,Presetpos,0
视频设置,Resolution,1280x1024
视频设置,Aspect Ratio,5:4
视频设置,Scaling Mode,Stretched
视频设置,Brightness,110%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Disabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,8x MSAA
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Anisotropic 16x
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.853901
界面 大小,HUD Color,Green
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,0.8
雷达,Radar Map Zoom,0.4
展示皮肤,skins,"['★ Specialist Gloves | Marble Fade (Battle-Scarred)', '★ Karambit | Autotronic (Battle-Scarred)', 'AK-47 | Bloodsport (Factory New)', 'M4A4 | The Emperor (Minimal Wear)', 'AWP | Exoskeleton (Battle-Scarred)', 'Glock-18 | Water Elemental (Minimal Wear)', 'StatTrak™ USP-S | Black Lotus (Factory New)', 'StatTrak™ Desert Eagle | Mecha Industries (Minimal Wear)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,Razer Deathadder V3 Pro White
外设,Keyboard,HyperX Alloy Origins
外设,Headset,EPOS H6PRO
外设,Mousepad,SteelSeries QcK Heavy
