设置,选项名称,值
选手信息,nick,faveN
选手信息,Name,Josef Baumann
选手信息,Birthday,"February 8, 2000"
选手信息,Country,Germany
选手信息,Team,Bleed eSports
鼠标,model,Logitech G Pro X Superlight White
鼠标,DPI,400
鼠标,Sensitivity,2.10
鼠标,eDPI,840
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,7
准星设置,Style,4
准星设置,Follow Recoil,Unknown
准星设置,Dot,0
准星设置,Length,5
准星设置,Thickness,1
准星设置,Gap,-2
准星设置,Outline,0
准星设置,Outlinethickness,Unknown
准星设置,Color,2
准星设置,Red,0
准星设置,Green,255
准星设置,Blue,165
准星设置,Alpha,Unknown
准星设置,Alpha Value,250
准星设置,T Style,Unknown
准星设置,Deployed Weapon Gap,Unknown
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,130%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.95
界面 大小,HUD Color,White
雷达,Radar Centers The Player,No
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,No
雷达,Radar Hud Size,1.15
雷达,Radar Map Zoom,.35
展示皮肤,skins,"['★ Nomad Knife | Fade (Minimal Wear)', '★ Sport Gloves | Nocts (Field-Tested)', 'AK-47 | Bloodsport (Factory New)', 'M4A1-S | Printstream (Field-Tested)', 'StatTrak™ AWP | Mortis (Field-Tested)', 'Glock-18 | Wasteland Rebel (Battle-Scarred)', 'USP-S | Whiteout (Field-Tested)', 'StatTrak™ Desert Eagle | Printstream (Battle-Scarred)']"
外设,Monitor,ZOWIE XL2566K
外设,Mouse,Logitech G Pro X Superlight White
外设,Keyboard,Corsair K65 RGB MINI 60% White
外设,Headset,Corsair Void Pro
外设,Mousepad,SteelSeries QcK Heavy
显示器设置,DyAc,Unknown
显示器设置,Black eQualizer,0
显示器设置,Color Vibrance,10
显示器设置,Low Blue Light,0
显示器设置,Picture Mode,FPS 1
显示器设置,Brightness,100
显示器设置,Contrast,50
显示器设置,Sharpness,10
显示器设置,Gamma,Gamma 2
显示器设置,Color Temperature,Normal
显示器设置,AMA,Unknown
