设置,选项名称,值
选手信息,nick,Furlan
选手信息,Name,Damian Kisłowski
选手信息,Birthday,"December 29, 1994"
选手信息,Country,Poland
选手信息,Team,Free Agent
鼠标,model,Razer Deathadder V3 Pro Black
鼠标,DPI,800
鼠标,Sensitivity,1.3
鼠标,eDPI,1040
鼠标,Zoom Sensitivity,1
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,250
准星设置,Color,5
准星设置,Blue,144
准星设置,Green,195
准星设置,Red,27
准星设置,Dot,1
准星设置,Gap,-2
准星设置,Size,2.5
准星设置,Style,4
准星设置,Thickness,1
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1440x1080
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,115%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Disabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,4x MSAA
视频设置,Global Shadow Quality,Medium
视频设置,Model / Texture Detail,Medium
视频设置,Texture Filtering Mode,Anisotropic 4x
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.95
界面 大小,HUD Color,Team Color
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,0.9
雷达,Radar Map Zoom,0.6
展示皮肤,skins,"['★ M9 Bayonet | Gamma Doppler Phase 1 (Factory New)', '★ Moto Gloves | Polygon (Field-Tested)', 'StatTrak™ AK-47 | Slate (Minimal Wear)', 'M4A1-S | Chantico’s Fire (Minimal Wear)', 'AWP | Capillary (Field-Tested)', 'Glock-18 | Water Elemental (Minimal Wear)', 'USP-S | Orion (Minimal Wear)', 'Desert Eagle | Printstream (Minimal Wear)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,Razer Deathadder V3 Pro Black
外设,Keyboard,Razer Huntsman V2 TKL
外设,Headset,Razer BlackShark V2
外设,Mousepad,Razer Gigantus V2
