设置,选项名称,值
选手信息,nick,suNny
选手信息,Name,Miika Kemppi
选手信息,Birthday,"August 24, 1994"
选手信息,Country,Finland
选手信息,Team,Ambush Esports
鼠标,model,Logitech G Pro X Superlight White
鼠标,DPI,800
鼠标,Sensitivity,0.825
鼠标,eDPI,660
鼠标,Zoom Sensitivity,0.80
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Color,1
准星设置,Blue,250
准星设置,Green,250
准星设置,Red,250
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,2
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Black Bars
视频设置,Brightness,80%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.85
界面 大小,HUD Color,Team Color
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1
雷达,Radar Map Zoom,0.7
展示皮肤,skins,"['★ Butterfly Knife | Slaughter (Factory New)', '★ Specialist Gloves | Crimson Web (Minimal Wear)', 'StatTrak™ AK-47 | Asiimov (Field-Tested)', 'M4A1-S | Printstream (Minimal Wear)', 'StatTrak™ AWP | BOOM (Minimal Wear)', 'Souvenir Glock-18 | High Beam (Factory New)', 'StatTrak™ Desert Eagle | Printstream (Minimal Wear)']"
外设,Monitor,ASUS ROG SWIFT PG259QN
外设,Mouse,Logitech G Pro X Superlight White
外设,Keyboard,Logitech G Pro Keyboard
外设,Headset,Logitech G Pro X Headset
外设,Mousepad,VAXEE PA ZYGEN
