设置,选项名称,值
选手信息,nick,kory
选手信息,Name,Kornél Szedlár
选手信息,Birthday,"July 12, 1998"
选手信息,Country,Hungary
选手信息,Team,Rare Atom
鼠标,model,Logitech G Pro X Superlight Black
鼠标,DPI,800
鼠标,Sensitivity,1.5
鼠标,eDPI,1200
鼠标,Zoom Sensitivity,1
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,255
准星设置,Color,2
准星设置,Blue,255
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-4
准星设置,Size,1
准星设置,Style,4
准星设置,Thickness,1
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,2
持枪 视角,Offset Z,-2
持枪 视角,Presetpos,3
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,130%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ Talon Knife | Marble Fade (Factory New)', '★ Sport Gloves | Vice (Field-Tested)', 'AK-47 | Case Hardened (Field-Tested)', 'M4A1-S | Blue Phosphor (Factory New)', 'StatTrak™ AWP | Asiimov (Battle-Scarred)', 'Glock-18 | Neo-Noir (Minimal Wear)', 'USP-S | Kill Confirmed (Battle-Scarred)', 'Desert Eagle | Ocean Drive (Minimal Wear)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,Logitech G Pro X Superlight Black
外设,Mousepad,Logitech G640 Original
