设置,选项名称,值
选手信息,nick,Znorux
选手信息,Name,Derek Graham
选手信息,Birthday,N/A
选手信息,Country,Mexico
选手信息,Team,Content Creator
鼠标,model,MSI Clutch GM41
鼠标,DPI,1600
鼠标,Sensitivity,0.5
鼠标,eDPI,800
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,1
准星设置,Alpha,255
准星设置,Color,5
准星设置,Blue,255
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-0.6
准星设置,Size,2.2
准星设置,Style,4
准星设置,Thickness,0.7
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,2
持枪 视角,Offset Z,-2
持枪 视角,Presetpos,0
视频设置,Resolution,1280x1024
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Black Bars
视频设置,Brightness,130%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,8x MSAA
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Medium
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.85
界面 大小,HUD Color,Blue
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1
雷达,Radar Map Zoom,0.25
展示皮肤,skins,"['★ Butterfly Knife | Slaughter (Factory New)', '★ Driver Gloves | Black Tie (Field-Tested)', 'StatTrak™ AK-47 | Slate (Well-Worn)', 'StatTrak™ M4A1-S | Mecha Industries (Minimal Wear)', 'AWP | Neo-Noir (Minimal Wear)', 'Glock-18 | Snack Attack (Field-Tested)', 'StatTrak™ USP-S | Cyrex (Minimal Wear)', 'Desert Eagle | Printstream (Field-Tested)']"
外设,Monitor,ZOWIE XL2566K
外设,Mouse,MSI Clutch GM41
外设,Keyboard,Custom Keyboard
外设,Headset,Corsair Virtuoso White
外设,Mousepad,Corsair MM800 Polaris
