设置,选项名称,值
选手信息,nick,juanflatroo
选手信息,Name,Flatron Halimi
选手信息,Birthday,"March 18, 1997"
选手信息,Country,Kosovo
选手信息,Team,Guild Esports
鼠标,model,ZOWIE EC2-CW
鼠标,DPI,400
鼠标,Sensitivity,2.3
鼠标,eDPI,920
鼠标,Zoom Sensitivity,1
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Style,4
准星设置,Follow Recoil,Unknown
准星设置,Dot,0
准星设置,Length,2
准星设置,Thickness,0
准星设置,Gap,-3
准星设置,Outline,0
准星设置,Outlinethickness,Unknown
准星设置,Color,2
准星设置,Red,50
准星设置,Green,250
准星设置,Blue,50
准星设置,Alpha,Unknown
准星设置,Alpha Value,200
准星设置,T Style,Unknown
准星设置,Deployed Weapon Gap,Unknown
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,80%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,None
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.85
界面 大小,HUD Color,Green
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1.153112
雷达,Radar Map Zoom,.25
展示皮肤,skins,"['★ Ursus Knife | Tiger Tooth (Factory New)', '★ M9 Bayonet | Lore (Well-Worn)', '★ Specialist Gloves | Fade (Field-Tested)', 'AK-47 | X-Ray (Factory New)', 'M4A1-S | Printstream (Factory New)', 'M4A4 | In Living Color (Field-Tested)', 'AWP | Capillary (Field-Tested)', 'Glock-18 | Bullet Queen (Minimal Wear)', 'USP-S | Whiteout (Field-Tested)', 'Desert Eagle | Blaze (Factory New)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,ZOWIE EC2-CW
外设,Keyboard,Logitech G715
外设,Headset,HyperX Cloud II Wireless
外设,Mousepad,Razer Gigantus V2
