设置,选项名称,值
选手信息,nick,RpK
选手信息,Name,Cédric Guipouy
选手信息,Birthday,"August 12, 1989"
选手信息,Country,France
选手信息,Team,Retired
鼠标,model,ZOWIE S2 Divina Blue
鼠标,DPI,400
鼠标,Sensitivity,1.35
鼠标,eDPI,540
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Color,1
准星设置,Blue,0
准星设置,Green,0
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,0
准星设置,Size,3
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,Unknown
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.95
界面 大小,HUD Color,Light Blue
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,No
雷达,Radar Hud Size,1
雷达,Radar Map Zoom,0.3
展示皮肤,skins,"['★ Shadow Daggers | Doppler Phase 2 (Minimal Wear)', '★ Sport Gloves | Pandora’s Box (Battle-Scarred)', 'AK-47 | Neon Rider (Minimal Wear)', 'M4A1-S | Hyper Beast (Factory New)', 'AWP | Atheris (Factory New)', 'Glock-18 | Bullet Queen (Field-Tested)', 'USP-S | Cortex (Minimal Wear)', 'Desert Eagle | Bronze Deco (Factory New)']"
外设,Monitor,ZOWIE XL2540
外设,Mouse,ZOWIE S2 Divina Blue
外设,Keyboard,Corsair K70 RGB MK.2
外设,Headset,Corsair HS50
外设,Mousepad,Corsair MM350 Champion Series
